iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3/companies?filters=veniam elit in&linkedContactsIds=13396752&linkedDealsIds=veniam elit in&page=13396752&limit=13396752&sort=desc&sortBy=veniam elit in","Bad Request","400","887","84",,,,"0","0","0","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","Bad Request","400","302","95",,,,"0","0","0","0"
"1","Sendinblue","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","Bad Request","400","410","128",,,,"0","0","0","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/veniam elit in","Bad Request","400","389","31",,,,"0","0","0","0"
"1","Sendinblue","Get a company","GET","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","298","48",,,,"0","0","0","0"
"1","Sendinblue","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","268","32",,,,"0","0","0","0"
"1","Sendinblue","Update a company","PATCH","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","299","84",,,,"0","0","0","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","Bad Request","400","292","84","Content-Type is application/json, Response body is not empty","Status code is 200, Response body contains pipeline stages, Each pipeline stage has required fields",,"5","2","3","0"
"1","Sendinblue","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals?filter[attributes]=veniam elit in&filter[linkedCompaniesIds]=veniam elit in&filter[linkedContactsIds]=veniam elit in&offset=13396752&limit=13396752&sort=desc","Bad Request","400","331","189","Check deal properties","Status code is 200, Response contains deals",,"3","1","2","0"
"1","Sendinblue","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","Internal Server Error","500","248","84",,,,"0","0","0","0"
"1","Sendinblue","Link and Unlink a deal with contacts and companies","PATCH","https://api.sendinblue.com/v3/crm/deals/link-unlink/veniam elit in","Bad Request","400","291","45","Link deal with contact, Link deal with company","Unlink deal with contact, Unlink deal with company",,"4","2","2","0"
"1","Sendinblue","Get deal attributes","GET","https://api.sendinblue.com/v3/crm/attributes/deals","Internal Server Error","500","866","135",,,,"0","0","0","0"
"1","Sendinblue","Get a deal","GET","https://api.sendinblue.com/v3/crm/deals/veniam elit in","Bad Request","400","265","100","Response body is not empty","Status code is 200, Response contains a deal",,"3","1","2","0"
"1","Sendinblue","Delete a deal","DELETE","https://api.sendinblue.com/v3/crm/deals/veniam elit in","Bad Request","400","240","46",,,,"0","0","0","0"
"1","Sendinblue","Update a deal","PATCH","https://api.sendinblue.com/v3/crm/deals/veniam elit in","Bad Request","400","214","46",,,,"0","0","0","0"
"1","Sendinblue","Get all tasks","GET","https://api.sendinblue.com/v3/crm/tasks?name"": ""Task: Connect with client"",
  ""taskTypeId"": ""61a5cd07ca1347c82306ad09"",
  ""date"": ""2021-11-01T17:44:54.668Z"",
  ""duration"": 600000,
  ""notes"": ""In communication with client for resolution of queries."",
  ""done"": false,
  ""assignToId"": ""5faab4b7f195bb3c4c31e62a"",
  ""contactsIds"": [
    1,
    2,
    3
  ],
  ""dealsIds"": [
    ""61a5ce58c5d4795761045990"",
    ""61a5ce58c5d4795761045991"",
    ""61a5ce58c5d4795761045992""
  ],
  ""companiesIds"": [
    ""61a5ce58c5d4795761045990"",
    ""61a5ce58c5d4795761045991"",
    ""61a5ce58c5d4795761045992""
  ],
  ""reminder"": {
    ""value"": 10,
    ""unit"": ""days"",
","OK","200","517","211","Status code is 200, Response should be valid JSON","Response should contain tasks",,"3","2","1","0"
"1","Sendinblue","Create a task","POST","https://api.sendinblue.com/v3/crm/tasks","Bad Request","400","632","285",,,,"0","0","0","0"
"1","Sendinblue","Get all task types","GET","https://api.sendinblue.com/v3/crm/tasktypes","OK","200","508","485",,,,"0","0","0","0"
"1","Sendinblue","Get a task","GET","https://api.sendinblue.com/v3/crm/tasks/veniam elit in","Bad Request","400","435","53",,,,"0","0","0","0"
"1","Sendinblue","Delete a task","DELETE","https://api.sendinblue.com/v3/crm/tasks/veniam elit in","Bad Request","400","529","53",,,,"0","0","0","0"
"1","Sendinblue","Update a task","PATCH","https://api.sendinblue.com/v3/crm/tasks/veniam elit in","Bad Request","400","506","53",,,,"0","0","0","0"
"1","Sendinblue","Get all notes","GET","https://api.sendinblue.com/v3/crm/notes?entity=deals&entityIds=veniam elit in&dateFrom=-41398727&dateTo=-41398727&offset=13396752&limit=50&sort=desc","Bad Request","400","254","80",,,,"0","0","0","0"
"1","Sendinblue","Create a note","POST","https://api.sendinblue.com/v3/crm/notes","Bad Request","400","549","90",,,,"0","0","0","0"
"1","Sendinblue","Get a note","GET","https://api.sendinblue.com/v3/crm/notes/veniam elit in","Bad Request","400","261","102",,,,"0","0","0","0"
"1","Sendinblue","Update a note","PATCH","https://api.sendinblue.com/v3/crm/notes/veniam elit in","Bad Request","400","270","100",,,,"0","0","0","0"
"1","Sendinblue","Delete a note","DELETE","https://api.sendinblue.com/v3/crm/notes/veniam elit in","Bad Request","400","233","46",,,,"0","0","0","0"
"1","Sendinblue","Get all files","GET","https://api.sendinblue.com/v3/crm/files?entity=deals&entityIds=veniam elit in&dateFrom=-41398727&dateTo=-41398727&offset=13396752&limit=50&sort=desc","Bad Request","400","368","92",,,,"0","0","0","0"
"1","Sendinblue","Upload a file","POST","https://api.sendinblue.com/v3/crm/files","Bad Request","400","291","31",,,,"0","0","0","0"
"1","Sendinblue","Download a file","GET","https://api.sendinblue.com/v3/crm/files/veniam elit in","Bad Request","400","278","81",,,,"0","0","0","0"
"1","Sendinblue","Delete a file","DELETE","https://api.sendinblue.com/v3/crm/files/veniam elit in","Bad Request","400","250","212",,,,"0","0","0","0"
"1","Sendinblue","Get file details","GET","https://api.sendinblue.com/v3/crm/files/veniam elit in/data","Bad Request","400","617","152",,,,"0","0","0","0"
"1","Sendinblue","Get an email campaign report","GET","https://api.sendinblue.com/v3/emailCampaigns/13396752","Not Found","404","1032","65",,,,"0","0","0","0"
"1","Sendinblue","Update an email campaign","PUT","https://api.sendinblue.com/v3/emailCampaigns/13396752","Bad Request","400","242","114",,,,"0","0","0","0"
